feature,delta_value,p_value,corrected_p_value
SRSF4_130239,-17.400000000000006,0.006771706303320679,1.0
CHKB-CPT1B_71875,-17.39,0.22346120436419936,1.0
RP11-1212A22.1_106099,-17.39,0.08764672884663566,1.0
C7orf26_34752,-17.365000000000002,0.02818765605714931,1.0
TYK2_20042,-17.36,0.013296108401866706,1.0
RPS3_101459,-17.310000000000002,0.394228406197459,1.0
RCAN1_128034,-17.310000000000002,0.2559202120118673,1.0
CNOT6L_22708,-17.265000000000015,0.4878726725617548,1.0
ZNF7_28243,-17.265,0.019414085651735923,1.0
TMEM161B-AS1_20625,-17.240000000000002,0.020767342266173248,1.0
WSB1_86417,-17.240000000000002,0.034881707889440484,1.0
HPS4_70228,-17.15,0.10155508349989045,1.0
ZNF75D_82206,-17.14500000000001,0.11071109645688859,1.0
SGTB_130834,-17.14500000000001,0.03791507884032102,1.0
RP11-315D16.2_90047,-17.14,0.255481686327905,1.0
MLST8_79906,-17.090000000000003,0.39679959874936965,1.0
TMUB2_99782,-17.07,0.5688453327799069,1.0
ATG16L2_13001,-17.060000000000002,0.047560444551246826,1.0
SLC25A3_60715,-17.054999999999993,0.34624254947053945,1.0
KCTD7_6814,-16.949999999999996,0.1061873180417094,1.0
RABGEF1_6815,-16.949999999999996,0.1061873180417094,1.0
ARFGAP1_42842,-16.930000000000007,0.01803301383900734,1.0
ZNF621_53285,-16.909999999999997,0.016827271047207368,1.0
IKBKG_106059,-16.89,0.012706775254151245,1.0
SREK1_66663,-16.845,0.1102928506367374,1.0
NPIPB5_98841,-16.835000000000008,0.04917895545352786,1.0
C17orf85_121147,-16.810000000000002,0.1462786115083472,1.0
SMAD3_72058,-16.784999999999997,0.22078622324813535,1.0
KLC3_27453,-16.745000000000005,0.2730290430436182,1.0
PTPN4_123008,-16.72999999999999,0.1136532615309501,1.0
AKAP9_14631,-16.719999999999995,0.6822900001953716,1.0
TTC3_70865,-16.690000000000005,0.05181341213773064,1.0
PPOX_12944,-16.67,0.07925993750977854,1.0
GOLGB1_20044,-16.67,0.002896100167341541,1.0
ARPC4-TTLL3_24248,-16.67,0.02975806743519914,1.0
TTLL3_24249,-16.67,0.02975806743519914,1.0
HYI_54370,-16.67,0.988032928245398,1.0
ZSCAN25_62168,-16.67,0.034275889824988144,1.0
