feature,delta_value,p_value,corrected_p_value
FAM83F,2.4600000000000004,0.005210500182367375,0.34051930891965104
ERICH5,2.5500000000000003,0.004346554687189093,0.34051930891965104
IQCG,2.755000000000006,0.004396486616002859,0.34051930891965104
VWDE,2.865,0.004815040202813704,0.34051930891965104
CAPN13,2.9200000000000004,0.004446937890998682,0.34051930891965104
CDK3,3.9849999999999994,0.0046014552591193535,0.34051930891965104
MBD4,4.069999999999986,0.005037556658786566,0.34051930891965104
TRHDE,4.92,0.005269329169443878,0.34051930891965104
SAMD12,5.74,0.005210500182367375,0.34051930891965104
FRAS1,6.58,0.004396486616002859,0.34051930891965104
SIM2,6.7150000000000025,0.005094619146302513,0.34051930891965104
SYK,6.969999999999999,0.00449791324115405,0.34051930891965104
ABCD4,7.514999999999986,0.004925161928657672,0.34051930891965104
ZNF121,7.725000000000005,0.004346554687189093,0.34051930891965104
ELF4,7.744999999999994,0.00449791324115405,0.34051930891965104
RSF1,8.640000000000004,0.0046014552591193535,0.34051930891965104
CDS1,11.675000000000002,0.004869819470934504,0.34051930891965104
OCLN,13.625000000000005,0.005152265253991215,0.34051930891965104
RABGAP1L,13.775000000000004,0.005269329169443878,0.34051930891965104
PPP1R16A,19.734999999999985,0.005152265253991215,0.34051930891965104
KLK10,20.355,0.004446937890998682,0.34051930891965104
EFNB2,21.054999999999993,0.005037556658786566,0.34051930891965104
ACSF2,24.320000000000007,0.0047071512092460655,0.34051930891965104
BAIAP2,26.724999999999994,0.004815040202813704,0.34051930891965104
TRIM29,30.154999999999994,0.004760819108649889,0.34051930891965104
KIAA1522,42.345,0.004925161928657672,0.34051930891965104
MBOAT7,47.71500000000002,0.004815040202813704,0.34051930891965104
DSP,50.66999999999999,0.0046014552591193535,0.34051930891965104
LTBP3,59.3,0.004760819108649889,0.34051930891965104
EIF4G1,75.1649999999999,0.0046014552591193535,0.34051930891965104
NAA50,81.13999999999996,0.005037556658786566,0.34051930891965104
SPINT1,97.41999999999996,0.0046014552591193535,0.34051930891965104
LAMA5,146.47999999999993,0.004815040202813704,0.34051930891965104
MKLN1,-5.9499999999999975,0.005328757490906104,0.3409161417432029
COG5,-3.9200000000000053,0.005328757490906104,0.3409161417432029
CPAMD8,1.0,0.005328757490906104,0.3409161417432029
CFAP43,0.21,0.005449433429136018,0.34339840088240303
PAIP2B,1.33,0.005510691787202633,0.34339840088240303
CCR3,1.4700000000000002,0.005510691787202633,0.34339840088240303
SCD5,8.255,0.005449433429136018,0.34339840088240303
OVOL2,10.055000000000005,0.005449433429136018,0.34339840088240303
HDAC7,14.215000000000007,0.005510691787202633,0.34339840088240303
RGL3,21.89999999999999,0.005510691787202633,0.34339840088240303
ESRP1,67.66,0.005449433429136018,0.34339840088240303
LRRIQ1,0.6349999999999997,0.0055725709625997705,0.34390467680121345
PRX,0.845,0.0055725709625997705,0.34390467680121345
IFNE,0.8750000000000003,0.0055725709625997705,0.34390467680121345
COPS6,-51.86,0.0065790671988982885,0.34511227008889483
RAB13,-42.664999999999964,0.0062958072003517045,0.34511227008889483
CCNG1,-35.529999999999994,0.006158335173943234,0.34511227008889483
AARS1,-33.235,0.006023572174184299,0.34511227008889483
SSR1,-29.064999999999998,0.006724951232910262,0.34511227008889483
HIBADH,-17.129999999999995,0.006226729633094204,0.34511227008889483
PLEKHB2,-15.854999999999997,0.005891471791032672,0.34511227008889483
MZT1,-12.940000000000001,0.006023572174184299,0.34511227008889483
AP1S2,-12.355,0.006226729633094204,0.34511227008889483
GLRX2,-9.210000000000006,0.006226729633094204,0.34511227008889483
DNAJC3,-6.914999999999999,0.00582640575231571,0.34511227008889483
THTPA,-6.049999999999998,0.005761988253057388,0.34511227008889483
ZNF226,-5.115,0.006507197773176726,0.34511227008889483
GLYCTK,-2.969999999999999,0.0060906179613914434,0.34511227008889483
ARSL,-2.375,0.006436035307493871,0.34511227008889483
UFSP1,-1.205,0.006436035307493871,0.34511227008889483
FAM78B,-0.23500000000000001,0.006724951232910262,0.34511227008889483
VTN,-0.14999999999999988,0.006724951232910262,0.34511227008889483
NTM,-0.1449999999999999,0.0062958072003517045,0.34511227008889483
IFNB1,0.08,0.006365573777644998,0.34511227008889483
ADRA2B,0.1000000000000001,0.006436035307493871,0.34511227008889483
MSANTD1,0.1200000000000001,0.006226729633094204,0.34511227008889483
CD8A,0.1899999999999999,0.006724951232910262,0.34511227008889483
TP53TG5,0.22000000000000003,0.005957192031150631,0.34511227008889483
NKX1-2,0.24,0.006724951232910262,0.34511227008889483
CLCNKB,0.28,0.00569821367071657,0.34511227008889483
BNIPL,0.3699999999999999,0.005761988253057388,0.34511227008889483
INSL3,0.3999999999999999,0.006226729633094204,0.34511227008889483
DHDH,0.44000000000000017,0.006651649649956729,0.34511227008889483
WBP2NL,0.52,0.0065790671988982885,0.34511227008889483
SLC23A3,0.7949999999999998,0.006651649649956729,0.34511227008889483
CLEC7A,0.8099999999999998,0.005891471791032672,0.34511227008889483
GGT6,1.39,0.006507197773176726,0.34511227008889483
C2orf81,1.5750000000000006,0.006023572174184299,0.34511227008889483
RBP5,1.6600000000000006,0.006158335173943234,0.34511227008889483
ARMH1,1.6800000000000002,0.006226729633094204,0.34511227008889483
RIMS3,1.6950000000000003,0.006724951232910262,0.34511227008889483
KCNMB3,2.005000000000001,0.005957192031150631,0.34511227008889483
EXPH5,2.025,0.0065790671988982885,0.34511227008889483
TMC8,2.085,0.006023572174184299,0.34511227008889483
PRRG4,3.689999999999999,0.005891471791032672,0.34511227008889483
ZFP41,3.830000000000002,0.006724951232910262,0.34511227008889483
BAG5,4.260000000000003,0.0065790671988982885,0.34511227008889483
TRIM52,5.075000000000003,0.006724951232910262,0.34511227008889483
FAM110A,5.660000000000004,0.005891471791032672,0.34511227008889483
D2HGDH,6.164999999999999,0.006436035307493871,0.34511227008889483
MFNG,6.535,0.0060906179613914434,0.34511227008889483
CAMSAP3,6.654999999999999,0.006023572174184299,0.34511227008889483
KHDC1,7.129999999999999,0.006436035307493871,0.34511227008889483
OSBPL2,10.925,0.005761988253057388,0.34511227008889483
TSPAN17,10.940000000000005,0.0060906179613914434,0.34511227008889483
ARNTL2,12.97,0.006226729633094204,0.34511227008889483
FMR1,13.394999999999982,0.006023572174184299,0.34511227008889483
DLG3,13.410000000000004,0.005891471791032672,0.34511227008889483
VSIR,15.204999999999997,0.006507197773176726,0.34511227008889483
PAK1,22.025000000000002,0.006724951232910262,0.34511227008889483
ZBED2,22.129999999999995,0.005761988253057388,0.34511227008889483
FAM83H,24.86,0.006226729633094204,0.34511227008889483
NUMA1,42.58999999999996,0.005635076421981847,0.34511227008889483
KLK6,49.22999999999999,0.005761988253057388,0.34511227008889483
CDH3,60.67500000000002,0.006365573777644998,0.34511227008889483
KRT17,91.765,0.006651649649956729,0.34511227008889483
SLPI,161.81499999999994,0.0062958072003517045,0.34511227008889483
SDHC,-34.87500000000003,0.006873736428031819,0.3457433155966413
TRIAP1,-15.470000000000006,0.007025472468227483,0.3457433155966413
ASH2L,-11.645000000000014,0.006949232461108638,0.3457433155966413
ERLIN2,-8.240000000000013,0.0067989780957432655,0.3457433155966413
PXK,-4.6650000000000045,0.007025472468227483,0.3457433155966413
ASTN2,-3.205,0.006949232461108638,0.3457433155966413
ZNF800,-3.1400000000000015,0.006873736428031819,0.3457433155966413
XCR1,0.02,0.006873736428031819,0.3457433155966413
