feature,delta_value,p_value,corrected_p_value
SMARCC2_93636,-23.76,0.1493411094589124,1.0
NSUN5P1_55820,-23.645000000000003,0.04754623998909373,1.0
IL1RAP_107905,-23.38,0.0468921588647849,1.0
STPG1_6869,-23.33,0.3717512896455608,1.0
SNX16_84331,-23.33,0.0025333951476050253,1.0
DST_132296,-23.270000000000003,0.018212295274794135,1.0
ISYNA1_8009,-23.08,0.014958897621848658,1.0
TCP1_40391,-23.08,0.017574687607997144,1.0
PCGF5_47369,-23.040000000000006,0.16270665959124464,1.0
DHFR_116113,-23.025000000000006,0.01759805764706712,1.0
C4orf21_116934,-22.875,0.06795567135902501,1.0
LPAR2_60110,-22.840000000000003,0.18207087286007018,1.0
AC002116.7_2989,-22.83,0.24975652585817665,1.0
RP11-139H15.1_23486,-22.76,0.16596082422730807,1.0
RP11-977G19.11_70049,-22.700000000000003,0.04264548211079661,1.0
SETD8_10275,-22.695,0.08995736857686565,1.0
ATP5SL_27332,-22.689999999999998,0.30595696043777887,1.0
TMEM260_111354,-22.655,0.0021136257265009875,1.0
CEP78_98088,-22.650000000000006,0.01784221222984476,1.0
IP6K2_131018,-22.515,0.07065288456702731,1.0
BMS1P4_93800,-22.5,0.029523215949937873,1.0
RP11-464F9.1_93801,-22.5,0.029523215949937873,1.0
RP11-574K11.28_93802,-22.5,0.029523215949937873,1.0
ISYNA1_81136,-22.49499999999999,0.004128159028058203,1.0
CA5BP1_63275,-22.409999999999997,0.07311785561809302,1.0
PPM1K_73830,-22.349999999999994,0.33846095837740287,1.0
HEATR5A_13369,-22.305000000000007,0.06205115929477387,1.0
RP11-176H8.1_13370,-22.305000000000007,0.06205115929477387,1.0
DDHD1_19743,-22.269999999999982,0.002518007673068812,1.0
CCDC125_54358,-22.22,0.3126804087039752,1.0
MKRN1_87598,-22.159999999999997,0.03058557394228609,1.0
RASA4CP_87599,-22.159999999999997,0.03058557394228609,1.0
TIMM17B_20549,-22.13499999999999,0.009407088596512205,1.0
GNAS_105257,-22.11,0.2826604442433879,1.0
ATG12_132143,-22.095,0.1915599607464945,1.0
ZNF252P_115287,-22.060000000000002,0.2636348953232297,1.0
MOGS_107693,-22.0,0.1411507657250248,1.0
ATP5SL_91155,-21.979999999999997,0.309889943107722,1.0
DEDD2_63215,-21.895000000000003,0.0008989569314534601,1.0
SMARCC2_6161,-21.890000000000008,0.1290526144750404,1.0
HTATIP2_109608,-21.830000000000013,0.003099533125656923,1.0
S100A16_7242,-21.830000000000005,0.5353598006135405,1.0
