feature,delta_value,p_value,corrected_p_value
ETICLOPRIDE,-0.3226438507305,0.014745581573819208,0.8076317383526098
DAUCOSTEROL,-0.32070782333250003,0.012631224185976368,0.8076317383526098
MANNITOL-D,-0.31498640743399997,0.014397695198531615,0.8076317383526098
2-ETHOXYBENZOIC-ACID,-0.306596467245127,0.010776265144811123,0.8076317383526098
ETIFOXINE,-0.30365524612787903,0.016598446740758627,0.8076317383526098
MEFLOQUINE,-0.29565494779625,0.014309398025474752,0.8076317383526098
ECTOINE,-0.2935155726256596,0.00891760145859031,0.8076317383526098
MOGUISTEINE,-0.28699110886949997,0.01633913717192507,0.8076317383526098
DENOTIVIR,-0.28697375996355,0.011121527695614176,0.8076317383526098
PRESATOVIR,-0.2865969950895,0.005269968892401686,0.8076317383526098
DILOXANIDE,-0.276322717265,0.018061617953231676,0.8076317383526098
A-366,-0.272484759872605,0.011121527695614176,0.8076317383526098
ACEFYLLINE,-0.2705009083615,0.004836756606158452,0.8076317383526098
I-BZA,-0.26760095034395,0.00838236368415047,0.8076317383526098
IOHEXOL,-0.2620999256083,0.011418452485706275,0.8076317383526098
ALPHA-METHYLHISTAMINE-DIHYDROBROMIDE-(R)-(-),-0.2485323359751,0.011228104066748155,0.8076317383526098
SULPHADIMETHOXINE,-0.23715485226140004,0.018061617953231676,0.8076317383526098
DOLASETRON,-0.232177000112,0.009254985858298159,0.8076317383526098
EFINACONAZOLE,-0.2279688018766,0.017436355824268064,0.8076317383526098
OMADACYCLINE,-0.21872309755417427,0.01780573641785686,0.8076317383526098
ITX3,-0.21669829556413917,0.015834086170780543,0.8076317383526098
OZANIMOD,-0.21519678002499998,0.017016726326993924,0.8076317383526098
CINTIRORGON,-0.2123231001522895,0.01822492324197936,0.8076317383526098
ALPIDEM,-0.2016659478817976,0.015904359742900737,0.8076317383526098
MEGLUMINE,-0.1999239393359,0.006497521101331561,0.8076317383526098
TRILOSTANE,0.15950190859000002,0.015228493953803466,0.8076317383526098
6-IODO-NORDIHYDROCAPSAICIN,0.20926204147550004,0.014745581573819208,0.8076317383526098
ANISINDIONE,0.21503813589895399,0.018022282186753107,0.8076317383526098
CLOROTEPINE,0.2395384854601,0.008804028767724324,0.8076317383526098
ALDA-1,0.24502095253812362,0.0169415018723364,0.8076317383526098
CHLOROCRESOL,0.24708462847549997,0.013647468395209533,0.8076317383526098
PHENYLMETHYLSULFONYL-FLUORIDE,0.2699456528179585,0.01780573641785686,0.8076317383526098
GLUCOSAMINE,0.2768211214759,0.017651078710651066,0.8076317383526098
MOLINDONE,0.28045709164,0.0059196780803739,0.8076317383526098
CILOSTAZOL,0.2853109891892,0.012888970693878576,0.8076317383526098
SDZ-NKT-343,0.28619305390705,0.013397085083342567,0.8076317383526098
