	PANC0203_PANCREAS	NIHOVCAR3_OVARY	RT112_URINARY_TRACT	NCIN87_STOMACH	PC14_LUNG	HCC1143_BREAST	639V_URINARY_TRACT	KMRC3_KIDNEY	ONCODG1_OVARY
CILNIDIPINE	0.345350906973	0.561611759555	-0.259374500654	-0.359389624191	-0.434955213175	-0.197948032992	0.22118439349	-0.0812047867924	-0.103119667539
BETAXOLOL	0.479132501699	0.0924473887105	-0.0816811868396	0.313954619232	0.371251507137	0.830744185875	0.153753347312	0.701808957443	-0.300893569776
LOFEXIDINE	-0.376537493908	-0.840919242852	0.225826857921	-0.00428355168963	-0.699813813015	-0.553458166316	-0.525898061675	-0.558250778227	-0.599848592276
ALIZAPRIDE	-0.199291223183	0.609556186525	-0.866488687296	0.0838824773247	0.0697920359059	-0.41029656863	0.0278692433413	-0.0284160473889	0.479630337369
MEPIVACAINE	-0.807720977755	-1.40101879875	0.135870378599	0.646408950847	-0.649663726628	0.0569367859974	-0.540017099297	-0.531966207521	0.364178096442
ICI-89406	-0.0837703984097	0.774219475962	0.0811979694469	0.227339650393	0.277238736515	0.586335852807	0.45232239798	-0.0470516880209	-0.510261085302
XL888	-4.9927616405	-1.4113220262	-3.8893229054	-2.16257651391	-4.81839579083	-3.62414771271	-5.57763318782	-2.83646663736	-2.10431814873
METOPROLOL	-1.10820137744	-0.139209078187	-1.09708731154	0.113960430734	-0.962086864008	-0.830504461851	-1.0226018027	-0.95314961666	-0.806258249989
BISMUTH-SUBCITRATE-POTASSIUM	0.0179115958026	0.265537705859	0.284751493245	-0.592790856815	-0.261140993898	0.273481027526	0.301535656627		0.163068919748
METHSCOPOLAMINE	-0.286926582992	0.64826116661	0.0125854785549	1.19434992496	-0.144176987371	-0.229160432832	-1.06091512778	0.205057266919	-0.478789201204
PIRICAPIRON	-0.103625152048	-0.382505508262	0.206167414625	-0.0317971958367	0.0332626041242	-0.399017749042	-0.474797833593	-0.0494180484983	0.0236927082524
EPERISONE	-0.550552603628		-0.553618237416	-1.4038609438	0.336909338077	-0.019854978565	0.421556788435	-0.0315755592185	0.335820499598
ISOPRENALINE	0.20106936703	0.058709137341	0.0163230159064	0.0784911558011	0.299174778974	0.334185440126	0.121845341474	0.0897061662929	0.341822679995
SYNEPHRINE	0.166978708874	-0.329349534668	-1.26764563559	0.291042356745	-0.278146084425	-0.638280136559	-1.12339902348	-0.272221310097	0.593686449294
SYNEPHRINE	-0.361463917978	0.227540799078	0.0713147069913	0.0821127841577	0.195173691405	-0.179238804145	0.1322083691	-0.273635731995	0.124987960325
MARAVIROC	0.739674778745	0.212912446077	-0.359796257539	-0.281526141847	0.50447659235	0.539282890949	-0.270713928829	-0.39774532601	-0.0852306073232
TRILOSTANE	0.355505156934	0.179075758787	-0.382424213322	0.316989210705	0.0800683799023	-0.704179959453	-0.0491508606441	-0.234876088991	0.415939111241
STEPRONIN	-0.165213732308		-0.880778054644	1.21764978313	-0.181265582034	-1.07627628541	-0.457052609587	-0.063071773291	-0.35649345586
CHLORPHENAMINE	0.290784071139	0.344509067153	0.331937242431	0.648732617165	0.083232376855	-0.104090053449	-0.0981731188235	-0.115612949575	0.93907165074
2-PMDQ	-0.172324844574	0.255227385116	-0.124988490064	-0.148378216655	-0.126871767381	0.0881860600782	-0.113126240222	-0.144237464887	-0.445123196613
BUPROPION	0.616803345854	0.0909285421403	0.128369833169	-0.538452998931	-0.266694513232	0.511681431786	-0.0220829008993	-0.0732471018439	0.164733789775
LISOFYLLINE	0.320428604459	0.222915467056	0.0345612204208	0.883855730549	0.393164091969	0.375734786968	0.248027557166	0.0201752300763	0.22472426362
BAY-K-8644-(+/-)	-0.531763506348	-0.533371525767	-1.36336434645	-0.631439147778	-0.62065030771	0.278146564462	-0.150791290963	-0.823899332871	0.688566400654
ERDOSTEINE	0.0358380372302	0.0462596572717	0.279293855213	0.340154002883	0.0614236226179	0.0809946232308	0.333014179397	-0.149337594541	-0.0911709651609
TELMESTEINE	0.182867263506	-0.0745095811699	-0.448798215402	0.789618634811	0.159963302102	0.506477304353	0.221161524211	0.316628351085	0.591367660173
D,L-MEVALONIC-ACID-LACTONE	0.614732655367	-0.256785335718	-0.894158575857	-0.566895779089	0.130652973445	0.0739768155917	0.396731723586		0.145567177465
	0.614732655367	-0.256785335718	-0.894158575857	-0.566895779089	0.130652973445	0.0739768155917	0.396731723586		0.145567177465
CPCCOET	0.0840027311311	0.268262246481	-0.100389320247	0.465444458445	0.388644084211	-0.11662953187	-0.178144853077	-0.282937274878	-0.0477660116364
LAPPACONITE	0.156162901386	-0.209181975642	0.534499018734	0.075270067866	-0.0644369114741	0.280292882316	-0.145973447768	-0.770085268042	0.13723349715
TERFENADINE	-1.11516219346	-0.30220498316	0.10762701136	-0.614155207409	-0.337070808222	-0.0934763013571	0.0675490380278	-0.129192107195	-0.249341672671
SB-218078	1.06159772485	-0.19098609679	-1.63044449084	1.82884764107	-0.719329671413	-0.136180311424	-1.3060252951	-0.717242373596	-2.13634616649
HYDROQUINIDINE	-0.0050227710426	-0.146462438964	-0.298341224121	-0.023856683765	0.0617002537183	0.115576545573	-0.0789357680251	-0.384095920149	-0.145275283352
DICLAZURIL	0.170216542782	0.615540446954	-2.19176734851	-0.185101970388	-0.770569567904	-1.03071191948	-0.222080281897	-0.634301748927	-0.601460722136
MONENSIN	-0.722079627016	-1.54316422669	-3.23192144346	-3.01579570762	-2.38979796908	-2.81333533867	-1.70475273819	-2.09945973758	-2.73384355623
ANISOTROPINE	0.264430749002	1.06418333502	0.394082485015	-0.0186981514235	0.101033924693	0.100595092022	-0.428699590019	0.376921133695	0.0654835372788
CPI-613	0.225406678718	-0.122221629912	0.455516290917	0.612568956501	-0.0533257618707	-0.701337096183	0.366059388537	-0.667555251175	0.39945842913
FUSIDIC-ACID	0.0931913280429	0.501568737586	-0.793016118689	0.875806003905	0.324647193115	-0.160091625906	0.340209736778	0.289180180496	0.318119408059
HYDROCORTISONE-HEMISUCCINATE	0.591109194197	0.0630466018194	0.344713561367	0.594908006921	0.202264212809	0.31123908311	0.207692402355	-0.227567678976	0.917541766828
MELUADRINE	0.0616806515048	-0.0156358019509	0.0269849459661	1.54763651372	0.1743025905	-0.33848547194	-0.0803814834358	-0.0428003622093	0.212689560447
RO-20-1724	0.321096824257	0.560117127254	0.237459254911	-0.469162879036	-0.419998444788	-0.74251122442	-0.763733490911	-0.105414781309	-0.387584859683
8-M-PDOT	0.163919551527	-0.207583245535	-0.187860380992	0.474097072775	0.11772703123	0.137850943669	0.0809140171246	-0.0560865651916	0.234383263033
ESMOLOL	0.433797052788	-0.271218334456	-0.388770143245	-0.628422784107	0.167026575568	0.425027599881	0.341016696037	-0.0742782212716	1.00423821643
LABETALOL	-0.0751966355482	-0.217834351381	0.55446126031	0.524096859775	-0.126377779085	0.0106442433275	0.0974739049825	0.116484227059	0.543030963765
BOPINDOLOL	-0.0232472208913	-0.187742182837	-0.274669245163	0.256187343394	0.540017272893	-0.0217143260892	0.309014642183	-0.292175840223	0.833435948384
MECLOCYCLINE-SULFOSALICYLATE	-0.122731737093	0.0808702110784	-0.010048917072	0.384498351362	-0.0645053953104	-0.208972260247	-0.497383493129	-0.785352384589	-0.786824325795
ISOFLOXYTHEPIN	0.190947634097	0.577464271812	-0.298159668777	0.0737992104721	0.00938414523296	0.164922307308	0.426288002612	0.0978280229918	0.713883055629
METAPROTERENOL	0.546132510475	-0.0392034790302	0.612340282232	0.293271030689	0.423657940413	-0.24334410686	0.265754575119	0.0239878986711	0.808491939814
METAPROTERENOL	-0.989815223095	0.871649483563	0.0625117819665	0.339128927813	-0.258914100577	-0.0693177726714	0.683904128827		0.438156093126
KAKONEIN	0.0125095466786	0.698116934477	0.26026162385	-0.18386327402	-0.368688733812	-0.0819202962381	0.150389542901	-0.167836697775	0.481738725585
BICUCULLINE-(+)	0.398985343173	0.592032213174	-0.450288407767	0.0470104564414	0.505917095827	-0.548121375681	0.172579020178	0.0869352196785	1.11496478897
VIGABATRIN	-0.452892022498	0.344851327943	-0.903791161661	-1.10631173189	-0.404633124534	-0.832459724658	-0.0704004252322		0.874080536476
METITEPINE	0.0705598523299	0.0749258855093	-0.720902706059	-0.273752233602	-0.0369189690747	-0.391715006636	0.184148994974	0.272842873157	-0.146652205549
BUPARVAQUONE	0.19606303429	0.344089753457	-0.58756965733	0.494030913579	-0.0753941354591	-0.259305964372	0.0578026200219	-0.369779349716	-0.531935668515
GALETERONE	0.00890258728302	-0.302163732915	-0.502412477315	0.693569219528	0.133783277795	-0.619042073015	-0.0936742807414	-0.228558784781	-0.456747832728
CDBA	0.0432360786938	-0.168521983345	0.534504947017	-0.336444707714	-0.113661399105	0.214563967816	-0.0675018760217	-0.69153361583	0.211416210269
RACECADOTRIL	0.401732955131	-0.684210571369	-0.132535980992	0.53528865894	-0.197066115995	-1.62611200259	-0.260842165935	-0.0435111391232	-0.287496776115
FAMPROFAZONE	-0.505998030539	-0.135388169014	0.250984017936	1.26932359841	0.0107743863683	-0.397645988104	0.560986026956	0.188508036165	0.697111691769
ETONOGESTREL	0.0392692725662	0.333476937975	-0.00584039542445		-0.109458992886	-0.655713605313	0.228862118987	-0.364654575961	-0.193608801649
DOXYCYCLINE	0.501476532461	0.0692522644631	-0.210211855369	1.14406239523	0.163505513646	0.321497164198	-0.0731327993716		0.399466839028
DOXYCYCLINE	-0.348023743599	1.09492589986	-0.49585161707	-0.655891069475	0.208140217896	0.317353118098	0.0311138380433	0.0613484697448	-0.169126831855
DOXYCYCLINE	-0.335006766844	-0.0386005984014	-0.371013989502	-0.234146697143	-0.130389399578	-0.384063503466	0.25087856916	0.362355629568	0.00026558987741
DOXYCYCLINE	-1.36768267903	-1.20934229708	-1.41818247293	0.067757048732	-0.364530749647	1.43949114333	-2.42599566641		-0.988934493164
IODIXANOL	-0.570239807656	0.0497643580944	-0.842904079525	-0.631986699335	-0.533722288969	-0.195045183109	-0.643379378401	-0.228852283062	-0.69434548963
L-THEANINE	-0.434579090658	0.150696595594	-0.451250006687		-0.51973541908	-0.232648560129	-0.825887613078	-0.637564987277	-0.121144828619
CID-5458317	-2.79762511276	-1.3950878746	-3.09131543664	-1.30939382288	-1.51686459098	-0.859975255935	-4.39741485739	-2.54173101745	-2.79854240838
ALFUZOSIN	0.461989997597	-0.126345671431	0.328713825876	-0.327256126912	-0.0208313490177	-0.116664630975	0.0706027526225	-0.0710442439039	0.6518681126
AMYLEINE	-0.0286860424297	-0.59673283026	0.209132986852	-0.0514554665551	-0.358939287595	-0.13847886509	-0.494814256886	0.00998659171259	-0.101403809938
STRYCHNINE	-0.449083419744	-0.41745290945	0.044005717152	-0.42953552788	-0.404614174697	-0.313668333853	-0.186875809056	-0.839128432815	-0.686290912003
NORETHINDRONE-ACETATE	0.0232868124482	1.40703454786	0.41571788851	-0.253859646275	-0.762376357168	0.142728082457	-0.465068424839	-0.393042566776	-0.45302553764
IOXILAN	-0.445105623128	0.660304387398	-0.291270455774	-0.441402530966	-0.408033492946	-0.223582947218	-0.54014326112	-0.91783239574	-0.246389182013
MEBEVERINE	-0.145127921929	0.124377271017	-0.611844869669	-0.281181658634	-0.333931199846	-0.399153275714	-0.347495819301	-0.885475816798	0.0349788799025
FLECAINIDE	-0.327683334498	-0.330986577832	-0.244608655901	-0.2373214516	-0.096398552194	-0.232480951821	-0.250066021189	-0.536821887432	-0.410476631638
VERAPAMIL	-0.320348801545	0.0395526230302	0.184167000956	0.546395438018	0.196341492704	0.0304863795911	-0.0207876664257	-0.488631576455	0.300573014665
