	NCIH1793_LUNG	MDAMB468_BREAST	SNU601_STOMACH	FTC133_THYROID	SKMEL30_SKIN	SUIT2_PANCREAS	PANC1_PANCREAS	NCIH1975_LUNG	FTC238_THYROID	OC314_OVARY
LASP1	107.18999999999998	104.88000000000002	121.25000000000004	116.83	93.92	125.26000000000002	92.68	121.47000000000004	110.22999999999998	72.05
SNX11	7.219999999999999	13.649999999999991	13.560000000000004	15.429999999999996	17.529999999999994	22.090000000000018	22.880000000000003	10.77	22.15	10.670000000000002
TMEM176A	0.1	0.07	0.1100000000000001	0.9700000000000002	0.0	27.01000000000001	0.01	0.05	0.02	0.04
M6PR	74.27	54.22999999999998	184.73	93.19000000000004	212.62999999999997	122.92000000000006	119.57999999999998	83.12000000000003	114.27	95.62999999999998
KLHL13	3.5999999999999996	2.05	0.08	14.560000000000008	0.8199999999999998	1.7399999999999998	0.1299999999999999	0.2199999999999999	1.62	11.429999999999996
CYP26B1	4.72	4.6599999999999975	0.1100000000000001	0.33	0.95	5.32	4.98	7.140000000000002	1.7000000000000006	1.25
ICA1	15.529999999999998	43.47999999999999	44.49	0.77	0.3400000000000001	8.33	0.2099999999999999	0.1899999999999999	0.28	19.35
DBNDD1	13.31	33.260000000000005	39.25999999999999	4.249999999999998	21.03	6.100000000000001	21.88	4.030000000000001	1.62	10.04
ALS2	21.940000000000005	14.030000000000005	16.870000000000005	12.770000000000003	19.3	14.72	46.92000000000001	17.840000000000003	16.110000000000003	27.660000000000004
CASP10	5.360000000000001	14.72	3.96	2.1	1.27	2.4999999999999996	0.08	4.370000000000001	1.59	0.09
CFLAR	138.88	29.589999999999996	34.099999999999994	16.269999999999996	21.290000000000003	46.97999999999998	22.059999999999995	23.380000000000017	12.54	37.75
TFPI	27.340000000000007	18.14	1.6100000000000008	26.78000000000001	2.8600000000000008	87.71000000000005	52.16	60.81000000000002	55.459999999999994	0.03
NDUFAF7	18.76000000000001	18.179999999999996	13.96	8.37	11.16	25.819999999999993	11.85	17.18	11.61	10.79
RBM5	102.5	52.69	61.15	31.64999999999999	79.41	61.24000000000005	57.00999999999999	74.21999999999998	62.97999999999998	80.63000000000001
MTMR7	0.5699999999999998	0.3999999999999999	0.54	0.1799999999999999	0.77	0.8399999999999999	0.1499999999999999	0.1599999999999999	0.71	1.7000000000000006
SLC7A2	0.02	0.2199999999999999	3.049999999999999	0.1899999999999999	8.78	14.660000000000002	0.02	0.6400000000000001	4.839999999999999	2.1699999999999995
ARF5	118.74	177.11000000000004	157.21999999999997	380.1200000000002	135.39000000000004	123.09999999999998	151.38000000000002	210.77999999999997	178.81	214.07000000000005
SARM1	6.47	3.2399999999999993	0.1899999999999999	9.869999999999996	12.510000000000002	5.63	3.210000000000002	3.630000000000001	23.289999999999996	3.1800000000000006
POLDIP2	50.15999999999999	44.05	59.97	110.17000000000002	80.08000000000003	89.90999999999997	112.62	83.67	94.70000000000007	47.98
PLXND1	61.44	7.490000000000002	0.33	13.07	17.209999999999994	29.72000000000001	152.96000000000004	12.459999999999996	8.210000000000003	7.099999999999998
AK2	151.86	318.3600000000002	224.1500000000001	270.0699999999999	380.44	272.84999999999985	255.3400000000001	186.48	326.4100000000001	198.96
CD38	0.3700000000000001	0.32	0.02	0.3799999999999999	0.08	0.1999999999999999	0.07	0.08	0.08	0.03
FKBP4	34.31000000000002	48.23999999999999	109.53000000000004	42.09	64.15000000000002	117.06999999999996	61.32000000000001	71.13	75.46	70.03000000000002
KDM1A	39.36	86.94	75.28000000000002	89.29000000000003	75.31000000000003	36.48	86.21000000000002	58.239999999999995	108.71	66.06999999999998
RBM6	40.51	35.339999999999996	39.13000000000002	33.29999999999999	38.360000000000035	40.73	31.119999999999997	46.59	38.91	39.25999999999999
CAMKK1	7.020000000000003	0.9399999999999996	5.990000000000001	4.240000000000001	5.010000000000001	4.77	6.880000000000003	3.62	11.730000000000006	4.430000000000001
RECQL	25.410000000000004	21.870000000000005	22.76	27.24	43.54	54.65999999999999	46.38999999999999	38.309999999999995	52.22	52.990000000000016
VPS50	11.170000000000002	8.66	9.499999999999996	11.52	8.040000000000001	8.770000000000001	4.260000000000001	19.089999999999996	9.84	16.119999999999997
HSPB6	0.1400000000000001	0.32	0.25	0.6299999999999999	0.4499999999999999	0.56	0.24	28.989999999999988	0.76	0.5
ARHGAP33	9.88	14.019999999999998	13.21999999999999	16.1	6.43	6.970000000000006	18.629999999999995	7.539999999999999	19.670000000000005	4.680000000000001
NDUFAB1	119.09999999999997	118.92000000000002	231.11	136.33000000000004	187.53000000000003	189.77	276.57999999999987	172.57000000000002	162.84000000000003	130.75999999999996
PDK4	1.12	0.2199999999999999	0.05	26.750000000000004	1.77	3.2	0.73	1.1799999999999995	0.77	2.05
SLC22A16	0.0	0.1200000000000001	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.0
