	PANC0203_PANCREAS	NIHOVCAR3_OVARY	RT112_URINARY_TRACT	NCIN87_STOMACH	PC14_LUNG	HCC1143_BREAST	639V_URINARY_TRACT	KMRC3_KIDNEY	ONCODG1_OVARY
SNX22	1.02	1.3600000000000003	0.6099999999999999	1.2599999999999998	0.3500000000000001	1.17	3.6599999999999993	1.7000000000000006	1.3200000000000005
UBN2	2.2699999999999996	3.82	2.770000000000001	2.76	4.260000000000001	3.4299999999999997	2.3300000000000005	2.770000000000001	2.2
BRAF	6.08	7.360000000000001	6.08	5.44	7.490000000000002	6.250000000000001	11.190000000000005	7.429999999999996	6.349999999999999
SLC34A2	0.09	504.6299999999997	0.01	0.2299999999999999	0.06	14.620000000000006	0.01	0.07	338.0700000000001
ACAN	0.0	0.05	0.0	0.0	0.0	0.08	0.0	0.0	0.01
PSMG3	39.97000000000001	52.71000000000001	55.06	50.059999999999995	79.82000000000002	52.44999999999999	69.89999999999999	31.36	52.66
CABP1	0.08	0.4399999999999999	0.4199999999999999	0.06	0.02	0.04	0.29	0.26	0.8799999999999999
WDR19	9.95	16.060000000000002	16.53	3.5999999999999996	9.45	15.86	13.499999999999998	15.79	11.500000000000002
SLC37A3	20.520000000000007	51.20999999999999	24.92	20.98	29.00999999999999	24.51	23.68999999999999	54.260000000000005	50.47000000000001
AP3S2	25.36	19.35	39.34999999999999	29.359999999999992	37.559999999999995	32.72999999999999	18.249999999999996	24.389999999999993	14.95
FMNL2	7.93	17.81	16.5	14.050000000000002	16.290000000000003	23.4	12.18	19.31	17.290000000000003
GAREM2	0.6400000000000001	6.47	1.31	1.59	0.4599999999999999	0.6699999999999999	4.099999999999999	11.709999999999994	4.49
SPPL3	16.47	22.73	32.98	21.01	19.56	18.549999999999994	20.53	34.35999999999999	19.590000000000003
DPYSL5	0.05	0.73	0.1	0.02	0.0	0.5	8.82	0.08	3.070000000000001
DRC1	0.1100000000000001	0.72	0.01	0.4299999999999999	0.72	0.01	0.02	0.08	0.3900000000000001
RAB28	9.78	15.010000000000002	17.630000000000003	6.41	12.399999999999991	10.89000000000001	11.429999999999996	8.01	11.44
PRXL2B	7.760000000000002	13.609999999999992	32.85999999999999	23.140000000000004	17.560000000000013	22.73	21.81	10.52	14.19
TNFRSF14	10.86	1.16	15.630000000000004	13.770000000000003	4.509999999999999	8.88	4.59	24.31	0.6299999999999999
PANK4	12.71	24.699999999999992	21.699999999999996	11.269999999999998	9.259999999999998	26.639999999999993	17.94	9.900000000000002	17.8
CIB4	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.08	0.1799999999999999
MEGF11	0.27	2.76	0.1200000000000001	0.33	0.27	0.54	5.090000000000002	0.4399999999999999	0.1999999999999999
C12orf43	9.420000000000003	11.180000000000003	9.73	14.07	9.170000000000003	11.39	18.24	14.78	10.73
PEX10	9.400000000000002	18.1	18.16000000000001	6.06	15.119999999999996	16.429999999999996	13.239999999999998	7.970000000000001	13.759999999999998
RER1	75.61999999999999	186.60999999999996	140.4	42.06	68.44999999999999	114.59	85.45000000000003	61.24000000000005	176.98000000000002
RADIL	0.09	0.9399999999999996	0.1799999999999999	0.03	0.03	2.11	0.4199999999999999	0.4299999999999999	0.6000000000000001
SKI	6.26	37.46999999999999	16.130000000000003	13.96	12.699999999999998	23.040000000000003	15.140000000000004	8.059999999999999	25.410000000000004
WIPI2	25.20000000000001	31.330000000000005	34.14	37.25000000000001	49.19999999999999	29.69	52.22999999999999	41.39	26.050000000000004
LDLRAP1	8.710000000000003	6.98	23.4	11.2	17.540000000000003	16.449999999999996	6.150000000000006	3.140000000000001	5.429999999999999
AGAP1	13.120000000000005	7.150000000000002	9.119999999999996	16.72	22.880000000000003	21.22000000000001	14.090000000000003	12.71	10.300000000000002
KRTCAP3	41.900000000000006	4.240000000000001	2.0	79.44000000000007	44.52	34.56000000000001	0.8700000000000001	6.6	3.0299999999999994
ANKRD61	1.29	1.21	0.77	1.58	0.91	1.33	0.9200000000000002	1.0700000000000005	1.29
PAFAH2	4.910000000000002	5.6499999999999995	5.700000000000001	3.750000000000001	7.65	5.39	4.139999999999999	6.450000000000001	3.3200000000000003
EXTL1	0.03	0.05	0.3500000000000001	0.01	0.1	0.04	0.05	0.02	0.1699999999999999
SLC30A2	0.02	0.3799999999999999	0.01	0.01	0.02	0.31	0.01	0.01	0.3500000000000001
BABAM2	15.78	13.25	22.909999999999993	28.300000000000004	24.739999999999995	22.15	26.120000000000022	29.23999999999999	18.120000000000005
