gene_name	PANC0203_PANCREAS	NIHOVCAR3_OVARY	RT112_URINARY_TRACT	NCIN87_STOMACH	PC14_LUNG	HCC1143_BREAST	639V_URINARY_TRACT	KMRC3_KIDNEY	ONCODG1_OVARY
TSC22D3	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0
ZXDC	1.75	1.96	1.8	1.81	1.6	1.95	1.97	3.41	2.28
ANKH	28.57	2.65	7.59	5.5	9.77	30.49	8.54	19.8	6.32
MED16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TMEM2	95.59	98.48	100.0	99.11	100.0	95.83	100.0	99.24	100.0
SPG11	100.0	100.0	100.0	96.81	100.0	100.0	100.0	100.0	100.0
PPP4R1	0.0	3.53	1.5	2.94	1.95	2.38	0.0	0.0	5.26
STAG2	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NGLY1	79.55	94.74	89.36	93.14	80.36	100.0	87.84	100.0	81.67
TCTN3	100.0	95.93	97.73	92.0	100.0	100.0	98.44	100.0	96.09
MTHFD1L	1.64	1.28	1.32	1.07	1.47	1.05	0.61	0.0	0.99
LZTS3	0.0	0.0		0.0	0.0	2.08	0.0	0.0	0.0
TMEM194A	15.79	13.21	24.49	8.13	6.45	21.53	13.64	30.56	17.54
CCNF	0.87	0.0	1.28	0.51	0.88	0.0	1.23	0.0	1.49
UBE2E2	100.0	99.15	100.0	100.0	100.0	100.0	100.0	100.0	100.0
OSBPL3	0.88	0.0	1.75	0.72	0.63	1.32	1.64	5.71	0.0
TK1	91.59	96.82	95.15	94.8	98.3	93.92	98.06	92.67	96.18
SSFA2	2.42	3.39	1.75	2.48	1.6	3.59	1.78	2.63	2.63
LRRFIP2	0.0	0.0	0.0	0.0	0.0	0.0	2.6	0.0	0.0
DCAF8	66.33	82.93	82.98	76.85	66.67	63.89	68.0	80.56	75.0
ABHD17B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARHGAP27	3.29	0.0	0.0	2.11	0.0	0.0	0.0	0.0	0.0
C2CD3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CIT	100.0	100.0	100.0	100.0	100.0	100.0	100.0	94.44	100.0
MARS	88.24	100.0	100.0	90.14	100.0	100.0	100.0	100.0	83.04
PPWD1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
