	HCC1395_BREAST	TOV112D_OVARY	HUCCT1_BILIARY_TRACT	RKN_SOFT_TISSUE	LMSU_STOMACH	SNU245_BILIARY_TRACT	TYKNU_OVARY
FAMPROFAZONE	0.699427580121	0.480811403907	-0.234522551017	0.117621946501	0.0783246007523	0.507643910896	0.795805226572
ETONOGESTREL	0.00110719091925	-0.289522156991	-0.206032111477	-0.131036566216	-0.086667461442	-0.518403901107	0.879049035324
DOXYCYCLINE	-0.0926106624666	-0.261090676868	-0.358696682327	0.963999802041	-1.04978486827	-0.323030006457	-0.588175468778
DOXYCYCLINE	-0.525756734457	-0.656466149521	0.155875826312	0.0460430004389	-1.10249013426	0.824244526632	-0.174355369002
DOXYCYCLINE	-0.373893335966	-0.0150365471961	-0.222612059615	0.0185571076142		-0.217510496602	0.0482599892271
DOXYCYCLINE	-1.96559060456	-0.442235552583	-0.655463443414	-1.34386277253	-1.80786403523	-1.0572242689	-2.74824591983
IODIXANOL	-0.286510666111	-0.77048926982	-0.19521386453	-0.52470720347		-1.00841853064	-0.439157200095
L-THEANINE	-0.209643547724	-0.114400800095	0.102662072476	-0.495807784986	-0.6660771069	0.182523232081	-1.07177075278
CID-5458317	-2.18612771224	-1.3771640829	-0.710772705168	-1.50683348421	-2.60401478363	-1.65108898762	-2.79890873706
ALFUZOSIN	0.443494028612	0.60250138369	-0.0301179551382	0.919670458684	0.282673111901	-0.00197991210533	0.592688850766
AMYLEINE	-0.301077761864	0.0664710975236	-0.384141066361	0.356128747462	-0.831644134905	-0.359632840787	-0.302042391816
STRYCHNINE	0.0181259160024	-0.300479456286	-0.214245736176	-0.0646758023159	-0.966697770749	-0.026143232616	-0.612109292315
NORETHINDRONE-ACETATE	-0.577642464305	-0.249926249082	-0.501555304053	-1.15647484065		-0.0098953163479	-0.683049739971
IOXILAN	-0.661107963796	-0.00935670771333	-0.465408634228	-0.0555941613277		-0.28654332003	0.558365494242
MEBEVERINE	0.0520433381277	-0.287809372451	-0.164752171231	0.485134841015		-0.470954182376	-0.0741137113899
FLECAINIDE	-0.317606052829	0.18771836402	-0.229016236436	0.0919816883625		-0.404202339489	-1.29206308437
VERAPAMIL	-0.512282588542	0.282157308463	-0.0230724161493	-0.19659112774		0.232692720255	-0.83384544234
8-BROMO-CAMP	0.114027958656	0.0698058821771	-0.025106528189	-0.120416273997	0.226447338424	0.624632798601	0.697828429936
CYCLOPHOSPHAMIDE	-0.0969089387538	0.0143681879359	0.0623467215495	0.771821834708	0.358531932378	1.18949742391	0.600849422477
BOCEPREVIR	-0.482831517612	0.141332434258	0.278733224433	-0.631781172829	0.808406888871	0.136786214495	-1.98117355798
SKF-81297	-0.212259549592	-0.099932930738	-0.525410796366	-0.0820243064282	-0.0902153104575	-0.22887142621	0.751047235823
ETILEFRINE	-1.13302957401	0.63783561997	-0.0916965173628	-0.237050759564	-0.128689995987	0.904612319834	0.390775975391
TIPRANAVIR	-0.645445748725	-0.309867612458	-0.294568881486	-0.252587936429		-0.599310708256	0.824257318547
PROPRANOLOL	-0.269461769879	-0.193565735087	-0.193508511945	0.394762819269		0.340309271772	-1.08208936296
ADENOSINE-PHOSPHATE	0.329106151603	0.0462547120261	0.235306469782	0.14690622215	-0.238859111615	0.947445831636	-1.05103408266
CYCLOPIAZONIC-ACID	0.83521202524	0.576440079698	-0.332426940255	-0.164658354448	0.703310673026	0.0895289260272	0.0897522596766
GSK429286A	-0.0840655657339	-0.262152438366	0.289757244406	-0.0823871108993	0.0774019356676	0.143536275908	-1.06363867879
FOSFOMYCIN	-0.0274530565343	0.530919604096	0.303481159869	-0.00772648757018	0.63696605452	0.0892408006972	-0.0891529872652
PRENYLAMINE	-0.146510895986	-0.0974697686768	-0.0204587097426	0.0689898998618	0.481101492129	0.234738200883	-0.598152940169
