	NCIH1793_LUNG	MDAMB468_BREAST	SNU601_STOMACH	FTC133_THYROID	SKMEL30_SKIN	SUIT2_PANCREAS	PANC1_PANCREAS	NCIH1975_LUNG	FTC238_THYROID	OC314_OVARY
CHLORPHENAMINE	0.106977150849	0.299331383515	0.254415580829	-0.0540936051497	-0.243270825817	-0.15793431759	0.246568664402	-0.197201606006	0.500878532936	-0.262183517204
2-PMDQ	0.218957566545	-0.0251855778742	-0.26721384947	-0.291303302475	0.0272046699105	0.0861311179739	-0.00248029126193	-0.138246992309	-0.578934846449	0.0045810847326
BUPROPION	0.152602017246	0.503762249155	0.187035537923	-0.0797916362248	0.0387671806808	0.29793047478	0.499896444178	0.0551145158737	-0.0319239070544	0.197773952237
LISOFYLLINE	0.0366637854777	0.628680722442	0.150167759937	0.418621697968	0.241430221616	0.117227124781	0.250662847857	-0.0111043948158	0.426072913131	0.0561090225089
BAY-K-8644-(+/-)	-0.50130388604	0.0672046432863	-1.08685285194	-0.320000329301	0.402258010362	-0.275759805021	-0.111822971634	-0.0730868897053	0.013657639428	-0.366926756332
ERDOSTEINE	-0.189121668242	0.342839509963	-0.531388866468	-0.187780924675	0.197582675278	0.31347545473	0.597193908082	0.107737160136	-0.630119182455	-0.0521431366483
TELMESTEINE	0.455249545066	0.512033018641	-0.0870636542062	0.159768730456	0.097938789876	0.0893579711272	-0.229354286619	-0.293466949375	0.971944392994	0.129092435669
D,L-MEVALONIC-ACID-LACTONE		-0.0945846348366	-0.235843441858	0.450308812399	0.280353092464		0.298551146338	-0.149736151914	0.409309818683	
		-0.0945846348366	-0.235843441858	0.450308812399	0.280353092464		0.298551146338	-0.149736151914	0.409309818683	
CPCCOET	-0.138775455893	-0.456517135387	-0.393242730428	0.589046819328	0.263276913128	-0.0632354531962	0.265367630011	-0.314114253989	-0.342894410326	0.00494171478756
LAPPACONITE	-0.120742491868	-0.053965824964	0.228989203095	0.437792853911	-0.346818324413	-0.358482104491	0.799577864767	0.202165776943	0.398251822395	0.209039862702
TERFENADINE	-0.148354241976	-2.1886118458	-0.0795339713939	-0.025137453594	-1.07605304083		-0.265235736267	-0.431586351743	0.640529574507	-1.03673497488
SB-218078	0.88341043981	-1.18477172844	-2.27134885178	-1.89832624112	1.02388012799	-1.27937158653	-0.201235833303		0.0497580485141	0.0980569472009
HYDROQUINIDINE	0.148688874052	-0.948210762479	0.485065097641	-0.387910076377	0.0440897411879	0.04509102425	0.386433068155		0.203375303847	-0.162518625948
DICLAZURIL	-0.523718825925	-0.77400115429	-0.438091541559	-0.0562465963043	-0.886860477974	-0.193517174327	-0.76911239109	-0.232064579843	0.31400707925	-0.173045114175
MONENSIN	-2.07699114292	-3.41223407601	-4.6208947568	-1.54362562759	-1.95992319869	-3.26263462001	-1.15705553253		-1.4824173207	-4.76892367792
ANISOTROPINE	-0.576130596751	0.244162987196	0.398983970237	0.591416502034	0.284025906741	0.349851874322	0.218289252548	0.106258555232	0.41612532445	0.0947060493162
CPI-613	0.351029039641	-0.0309097480967	0.115614763636	-0.0963192870794	0.171893891455	-0.135110888039	0.0753729242863	0.0407844614595	0.190481299604	0.183501444458
FUSIDIC-ACID	0.326478578886	0.389895137926	0.0446505017001	0.561511399161	-0.109970410292	0.257273672295	-0.098258285429	-0.235776841077	0.265972417728	-0.0391541920321
HYDROCORTISONE-HEMISUCCINATE	0.15341188689	0.609199954064	0.0614299969443	0.784850483033	0.40055966819	0.415299441735	0.18934364551	0.0655187159051	1.37136591091	-0.184515952672
MELUADRINE	-0.0120265469398	0.253540384967	-0.655388394061	-0.289671172759	0.529609152845	-0.0903256664213	0.0758370591986	-0.198763303748	1.56759046239	0.0175098798012
RO-20-1724	0.128006174156	-0.0456279541529	0.156509880451	-0.334277463219	-0.115885538721	-1.03650040215	-0.645982152658	-0.114067925963	-0.233160205344	-1.06758389116
8-M-PDOT	0.155078083577	0.422524990351	0.130362356415	0.358010422258	0.112319798246	0.0881567059458	-0.316448253679	0.045115420016	-0.290672424207	0.0551690284981
ESMOLOL	0.0710656552558	-0.0503141290139	-0.2335838665	0.428530178261	0.0110143064761	0.400342324853	-0.11607146326	0.0744060376756	0.57596620786	-0.0518573740511
LABETALOL	0.181892704441	-0.0974864177997	0.679546333763	0.0463406603138	0.347414180916	-0.0503817909016	0.441069428408	-0.25022027738	0.156667634774	-0.0776015754996
BOPINDOLOL	0.447359016039	0.612630118102	0.0488926826985	1.19331333047	0.111803724808	0.290034902494	-0.201049191614		0.799031112674	0.617233706392
MECLOCYCLINE-SULFOSALICYLATE	0.507756564394	-0.167720344461	0.298342668016	-0.228563497979	0.296118273753		-0.291515299222	-0.14721627959	-0.30474959779	-0.0851028773045
ISOFLOXYTHEPIN	0.509006512619	0.0958043259649	0.563572938473	0.241727546991	-0.334861717654	0.393457024223	0.359469871776		-0.134640946288	0.0253279908841
METAPROTERENOL	0.31012450709	0.593482707307	0.43749026648	0.513662893359	0.624192916279	0.234849160793	0.137409220186	0.179087221965	0.532331003688	0.384696347164
