	HCC1395_BREAST	TOV112D_OVARY	HUCCT1_BILIARY_TRACT	RKN_SOFT_TISSUE	LMSU_STOMACH	SNU245_BILIARY_TRACT	TYKNU_OVARY
TUSC2	18.549999999999994	17.560000000000013	23.61	25.420000000000005	15.769999999999996	25.999999999999993	27.35
NPRL2	26.820000000000007	14.96	11.239999999999998	14.410000000000002	10.57	10.51	9.420000000000003
RPL24	899.6399999999996	1123.9000000000003	2808.8000000000034	1031.3000000000009	931.8799999999998	1526.6	2063.400000000001
CYB561D2	35.85000000000001	14.449999999999998	19.55	10.64	14.460000000000004	22.98	15.380000000000004
C3orf14	23.999999999999993	17.62	0.05	28.89	0.27	9.539999999999996	0.03
FXR1	137.21999999999997	107.31	73.03	145.59999999999997	174.73999999999998	50.47999999999999	111.52
CBLB	11.57	2.1499999999999995	3.96	3.1800000000000006	5.91	6.730000000000001	2.12
BBX	17.420000000000005	6.769999999999999	5.4	17.109999999999996	17.380000000000003	6.8100000000000005	10.500000000000002
IFT57	4.949999999999999	7.690000000000003	37.92999999999999	24.3	30.25	20.5	25.520000000000007
GNB4	7.730000000000004	10.14	0.2099999999999999	14.660000000000002	32.260000000000005	0.09	22.340000000000018
HHLA2	0.0	0.01	0.02	0.03	0.2099999999999999	2.52	0.0
IQCG	3.83	4.9	1.7800000000000002	9.910000000000002	28.429999999999993	2.6500000000000004	21.039999999999996
GBE1	41.19000000000001	5.57	19.929999999999996	23.32	92.84	5.530000000000001	17.270000000000003
MORC1	0.0	0.0	0.0	0.0	0.0	0.0	0.01
UMPS	23.359999999999992	28.80999999999999	61.98999999999999	19.670000000000005	40.719999999999985	39.91	41.11
NCBP2	23.27999999999999	73.88000000000002	84.68000000000008	75.91999999999999	71.36999999999999	63.40000000000002	72.11
SNX4	15.5	25.760000000000005	18.16000000000001	14.21	22.679999999999996	12.56	21.80000000000002
C3orf52	2.5500000000000007	0.26	12.56	8.439999999999998	6.730000000000001	6.570000000000001	0.03
FRMD4B	0.8599999999999999	18.7	0.8700000000000001	19.07	0.5699999999999998	5.68	1.92
SLC41A3	17.190000000000005	16.960000000000008	33.21000000000001	18.56	18.980000000000004	27.109999999999996	24.13
ROPN1B	1.7800000000000002	0.0	0.2299999999999999	0.0	0.04	0.08	0.0
PLXNA1	14.580000000000002	10.159999999999998	4.19	31.5	23.78	13.27	30.210000000000004
ATP6V1A	37.03999999999999	13.21999999999999	34.849999999999994	11.149999999999997	12.25	13.189999999999998	21.510000000000023
ABTB1	13.640000000000002	4.09	4.240000000000001	31.299999999999997	9.76	15.97	5.1899999999999995
PODXL2	16.979999999999997	27.770000000000007	0.8500000000000001	1.4699999999999998	0.29	30.92000000000001	10.449999999999996
UPK1B	0.1599999999999999	0.05	0.08	0.08	0.1400000000000001	0.04	0.07
CSPG5	2.32	4.919999999999999	0.1799999999999999	0.5800000000000001	0.3	0.99	0.1299999999999999
KLHL18	29.050000000000026	15.300000000000004	15.759999999999994	14.69	14.060000000000008	14.96	30.37000000000001
SCAP	31.31	30.769999999999992	5.62	19.450000000000003	26.06000000000001	35.07999999999999	19.4
EFCC1	0.0	1.27	0.0	0.01	0.0	0.01	0.0
CFAP92	0.53	1.71	0.1899999999999999	0.1899999999999999	0.4599999999999999	0.5899999999999999	0.47
NEK11	0.99	0.53	2.12	3.09	5.659999999999998	0.8900000000000001	2.51
MRPL3	113.16000000000004	94.34999999999998	238.9499999999999	81.0	151.72999999999996	119.77000000000002	151.91000000000005
PLSCR4	4.760000000000001	0.6800000000000002	1.1100000000000003	1.2599999999999998	8.15	0.1100000000000001	2.25
HEMK1	14.569999999999997	3.4800000000000013	12.11	9.67	10.419999999999998	12.070000000000004	4.5600000000000005
CISH	1.8499999999999996	2.5500000000000007	0.48	0.6499999999999999	0.55	5.55	0.1200000000000001
MAPKAPK3	33.480000000000004	49.48	19.430000000000003	26.129999999999992	25.51	30.019999999999992	9.11
ACVR2B	0.9700000000000002	2.01	0.6099999999999999	1.3600000000000003	1.7800000000000002	1.7999999999999994	0.9799999999999998
WDR48	16.519999999999996	14.560000000000008	5.250000000000001	13.539999999999992	12.170000000000002	9.67	6.269999999999999
COMMD2	31.139999999999993	16.210000000000004	14.370000000000006	24.13	23.11	12.530000000000005	18.010000000000005
GORASP1	36.750000000000014	20.83	8.66	21.13000000000001	23.03	36.71000000000001	22.98999999999999
PEX5L	0.1	0.03	0.03	0.4199999999999999	0.5899999999999999	0.01	0.08
RRP9	56.86000000000001	36.21999999999999	10.460000000000004	38.709999999999994	33.55	38.45000000000001	65.62999999999998
ABCC5	19.18	16.88	5.860000000000002	14.130000000000004	20.38000000000001	25.069999999999993	20.040000000000003
AADAC	0.02	0.07	0.1	0.09	0.05	8.66	0.01
ABHD14B	79.26000000000003	34.46000000000001	23.53000000000001	21.59	18.530000000000005	39.02	55.389999999999986
EIF1B	59.64999999999999	59.409999999999975	47.25999999999999	76.85999999999999	38.11	29.999999999999993	34.50000000000001
ABHD14A-ACY1	1.7399999999999998	0.81	0.1200000000000001	1.09	0.8	5.0	0.5899999999999999
ARHGEF26	3.2	4.870000000000003	10.100000000000003	1.1	1.41	2.51	0.81
KLHL24	9.93	12.909999999999991	1.59	7.720000000000001	2.9299999999999997	5.18	5.63
PLCH1	0.25	1.42	0.56	0.04	0.1100000000000001	2.02	0.02
VIPR1	0.07	0.29	6.269999999999999	0.01	0.1699999999999999	45.41	0.05
DNAH1	2.47	1.7399999999999998	0.06	0.6600000000000001	0.9200000000000002	8.759999999999996	1.1100000000000003
SSR3	134.96000000000012	47.379999999999995	265.26000000000005	225.49999999999991	248.7899999999998	101.6	190.02999999999992
ZBTB47	3.679999999999999	3.85	0.5800000000000001	4.070000000000001	4.240000000000001	0.03	2.89
TNNC1	1.6399999999999997	68.30000000000004	1.5199999999999996	0.2199999999999999	0.1599999999999999	21.719999999999995	0.55
NKTR	47.23	25.31000000000001	5.659999999999998	18.639999999999993	34.920000000000016	31.07999999999999	15.449999999999996
CLCN2	5.17	7.550000000000003	2.78	5.119999999999999	5.599999999999999	18.78000000000001	13.31
FOXP1	4.32	6.09	5.1000000000000005	13.120000000000005	20.26	9.86	1.5300000000000002
EIF4G1	188.72000000000008	221.54	65.64	277.7499999999999	391.98	203.94000000000003	380.4799999999999
SPCS1	147.5199999999999	76.84	277.42999999999995	105.38	84.96000000000001	117.10999999999996	106.54
NEK4	9.740000000000002	19.359999999999992	4.86	14.85	14.52	14.55	9.77
SLC4A3	4.969999999999999	2.04	0.8500000000000001	4.579999999999999	5.2299999999999995	1.71	0.06
INO80D	1.79	2.8600000000000008	1.2199999999999998	2.63	1.8299999999999996	3.12	2.19
EEF1B2	561.8500000000008	1166.5000000000005	1137.700000000001	1125.6000000000004	614.210000000001	1703.2000000000005	1147.099999999998
ADAM23	0.05	18.87	0.1100000000000001	3.380000000000001	1.21	0.09	8.989999999999997
DGUOK	63.19000000000001	98.23	83.79	120.28	64.94999999999999	64.01999999999998	105.24
MOB1A	28.120000000000008	75.50000000000001	44.27000000000002	68.95000000000002	34.82	35.04999999999999	46.580000000000005
KANSL3	30.64	36.379999999999995	6.41	25.329999999999995	33.67999999999999	14.96	14.18
LMAN2L	27.93999999999999	17.05	5.7700000000000005	20.229999999999997	31.20000000000001	7.410000000000002	10.849999999999998
RTKN	6.389999999999999	22.22	7.109999999999999	10.36	9.3	50.52	13.200000000000005
TTL	7.16	65.36999999999999	7.93	36.01	65.20000000000002	14.85	23.96000000000001
IL1A	0.1400000000000001	0.04	29.680000000000003	37.690000000000005	12.28	0.06	296.56000000000006
CCL20	1.4	0.0	19.06000000000001	5.239999999999999	3.0200000000000005	0.53	0.3999999999999999
