gene_name	HCC1395_BREAST	TOV112D_OVARY	HUCCT1_BILIARY_TRACT	RKN_SOFT_TISSUE	LMSU_STOMACH	SNU245_BILIARY_TRACT	TYKNU_OVARY
SRSF11	4.0	5.13		3.8	3.49	7.02	3.6
MDN1	100.0	100.0		100.0	100.0	100.0	100.0
GNB1	93.68	92.91	100.0	93.13	90.04	93.97	92.07
PSRC1	39.74	30.68		31.8	38.82	24.53	40.0
MORN1	0.0	0.0		3.33	12.5	5.26	15.79
ALAS1	86.67	91.53		94.37	88.89	90.0	92.62
CRYBG3	86.67	91.53		94.37	88.89	90.0	92.62
SZT2	0.0	0.0		3.45	0.0	0.0	0.0
FECH	0.0	0.0		0.0	0.0	0.0	0.0
NUP214	0.0	0.0		0.0	0.0	0.0	0.0
DGCR8	0.0	0.0		0.0	0.0	0.0	0.0
SREK1	1.25	0.73		0.56	1.04	1.1	0.57
TRIO	100.0	100.0		100.0	100.0	100.0	100.0
PIH1D1	4.0	3.91	0.0	1.43	2.44	2.82	2.56
XRN2	100.0	100.0	100.0	100.0	100.0	100.0	100.0
B4GALT4	100.0	100.0	100.0	100.0	95.71	100.0	100.0
CYTH3	2.17	6.34		1.72	5.77	8.89	4.0
SPIDR	94.03	80.22	100.0	85.71	76.71	91.89	83.08
THBS1	0.34		0.0	0.4	0.19	0.0	0.0
CNPY2	97.78	99.46	100.0	99.3	99.08	100.0	100.0
PSMC6	0.71	0.0	0.0	1.85	0.36	0.0	0.0
NADSYN1	6.9	0.0	0.0	0.0	0.0	1.74	0.0
NCKIPSD	92.31	93.33		93.88	95.24	100.0	100.0
PAK1	0.0	0.0		0.0	0.0	0.42	0.0
ACAD10	100.0	93.75		94.12	93.75	95.6	100.0
LOH12CR1	3.45	1.41	6.67	0.0		2.13	4.17
RAD54L	97.56	98.04		100.0	100.0	100.0	100.0
LMF2	96.76	100.0		100.0	96.38	100.0	98.51
PODXL		90.0		100.0	96.15	89.47	94.29
GALM		3.7	35.71	0.0	75.64	93.13	82.35
TMEM70	100.0		100.0	100.0	100.0	100.0	100.0
PEF1	99.28	97.75	100.0	100.0	99.19	100.0	100.0
ACSS2	100.0	100.0		100.0	100.0	100.0	100.0
USP3	11.9	5.56	2.9	2.8	2.94	10.34	6.82
CCT3	97.67	99.95	22.22	98.35	99.83	99.84	95.9
SH2B1	6.98	2.25		0.0	0.0	0.0	16.47
SDAD1	100.0	100.0		100.0	100.0	100.0	100.0
PRDM15	100.0	100.0		100.0	100.0	100.0	100.0
ZNF180	86.36	92.86		81.82	83.33	87.5	83.78
GCFC2	2.33	7.53	11.76	0.0	8.33	1.64	6.74
GPR108	0.0	0.0		0.0	0.0		0.0
DAB2IP	0.0	1.49		0.0		1.79	
GCH1	0.0		0.0	0.0	0.0	1.39	
C1orf112		100.0	100.0	100.0	100.0	100.0	100.0
WDR55	5.88	6.06		3.12	0.0	3.57	2.17
FBXO3	0.0	0.0	0.0	0.0	1.0	0.0	0.0
AC003002.4	100.0	95.0	100.0	95.18	100.0	96.46	96.55
ZNF547	100.0	95.0	100.0	95.18	100.0	96.46	96.55
SYNE2	0.0	0.0		0.0	0.0	0.0	0.0
BCL6	6.25	0.0		0.0	0.0	3.03	
CCNK	2.7	0.62		1.37	1.19	1.48	2.94
RAD9A	7.5	3.7		4.0	5.71	2.0	2.22
MAPKAPK5	89.23	87.6		78.62	100.0	84.43	95.6
TDRD7	100.0	100.0		100.0	100.0	100.0	100.0
ANAPC2	96.3	97.5	100.0	100.0	100.0	100.0	95.88
IL17RA	0.0	3.7		0.0	2.56	2.08	2.0
WASL	0.86	0.0	0.0	0.0	0.0	0.0	0.0
PMPCB	3.57	0.0	0.56	0.0	4.88	1.67	0.98
PAM16	3.97	8.98	7.26	12.58	9.23	6.75	5.74
GMIP	0.0	4.76		0.0		0.0	8.7
HERC2P3		0.0		0.0	31.25	17.24	0.0
UBALD2	1.12	0.78	0.6	0.56	0.79	1.13	0.79
PDDC1	6.56	4.0	0.0	3.57	3.92	3.19	4.96
OXCT1	0.0	0.0		0.0	0.0	0.85	0.0
GPR108	1.33	4.12	0.0	1.53	1.72	1.08	2.63
R3HDM2	0.0	0.0		0.0	0.0	0.0	0.0
SH2B1	2.35	0.0		0.0	0.0	6.33	0.0
PPP2R5C	1.82	3.23	0.0	2.13	3.85	6.59	0.71
RNPEPL1	0.0	0.0		7.89	5.26	12.08	4.9
UBAC2	97.37	100.0	100.0	100.0	100.0	100.0	100.0
CIT	17.86	19.67		22.14	21.82	25.0	11.11
ABHD16A	2.05	0.0	0.0	0.63	1.72	1.59	0.0
XXbac-BPG32J3.20	2.05	0.0	0.0	0.63	1.72	1.59	0.0
GLOD4	0.88	0.45		2.92	0.0	0.0	0.0
INO80E	48.06	53.03	72.0	60.61	57.58	87.5	38.94
GHDC	0.0			0.0		0.0	4.08
GOLGA3	1.75	0.0		0.0	0.0	0.0	0.0
NFAT5	61.54	62.22		61.4	68.89	55.77	64.58
RP13-996F3.5	0.0	0.0		0.0	0.0	0.0	0.0
PHTF1	0.0	40.0		22.73	24.0		15.0
BTN2A1	23.58	23.86		15.69	23.23	23.73	13.51
SRPK1	100.0	100.0		100.0	100.0	100.0	100.0
PITPNM1	34.92	30.77		35.51	34.74	29.73	34.55
MATR3	100.0	100.0		100.0	100.0	100.0	100.0
STK11IP	70.37	83.33		80.0	84.21	77.14	85.19
TOE1	2.33	0.0		2.5	1.2	3.7	0.85
TADA3	97.11	96.5		97.09	97.77	94.5	98.73
TDRKH	2.13	0.86		0.0		0.0	0.0
UHRF1BP1L	89.47	100.0		100.0	100.0	100.0	100.0
ZNF408	0.0	0.0		0.0	0.0	0.0	5.71
TAF1A	93.33	93.75	94.25	96.67	92.59	58.33	96.55
PTCD3	0.65	0.29		0.0	0.0	0.23	0.51
UBE2I	12.82	9.23		6.12	8.57	25.71	4.76
C16orf95	9.52	13.16	0.0	4.55	25.0	0.0	5.56
RP11-178L8.4	9.52	13.16	0.0	4.55	25.0	0.0	5.56
CNTROB	0.0	0.0		0.0	0.0		0.0
PTCD3	0.0	0.0	0.0	0.0	0.0	1.2	2.96
SLC50A1	50.0	73.33		50.0	60.0	57.69	58.06
DHX32	9.26	27.27	2.56	11.32	11.24	7.25	12.0
MST4	100.0	100.0	100.0	100.0	100.0	97.58	100.0
